reviews,ratings
"Reminds me of the old CoD. The option to use a PS5/XBO remote control for Bluetooth linkage to your mobile device is amazing. It's accurate and I can use my phones mirror app to play on the big screen. I have only one minor complaint.. When you hook up a controller, sometimes my opponents do not have controllers even though the game boasts that it will match you with others who are also using controllers. It's a little unfair during off-peak hours. Still a 5 star game!",5
"I love this game right? It's awesome, you don't have to pay £60 to play it, But it's starting to become unplayable, it's not anything about the space or anything, my phone that I use is really good but I'm facing prominent lag issues when my setting were high, I've now reduced them but it's still annoying for when I'm in a ranked game, they also need to sort out the matchmaking cos I'm getting sick of enemy teams being godly, while my team's can barely co-ordinate where they are going. 4 stars..",5
"I really, really love this! It takes up space on your phone but what do expect? Its a call of duty game. Its going to take up space. If you have a low end phone it may take up all/most of your space but its ok its worth it :D! But it may be really laggy. And they give you the choice to lower your graphics! Overall, this is a GREAT game, but please make zombies a permanent thing please then this would be a 50 star out of 10!",5
"I love this app, sometimes you get good players on the enemy team witch is fun, until you lose 😅. But the maps are a little hard to learn, but I'm getting the hang of it. In other words this app is so freaking awesome. And is better than stationary game consoles. 10/10 rating. Best game EVER!!!😆😆. Although i would love to see ""play vs AI"" offline",5
"I've played lots of times with my PS4 controller, no problem until this new update will not let me use it. All the controls are different and most doesn't work...my controller is brand new. Edit: it's been fixed. Thank you. I love playing, too bad it doesn't work on my brand new Tablet without the sd card. Can't connect to wifi with the game.",5
Gameplay is smooth and there are alot of maps for mp. Once you've reached master 1 in ranked you can't find any matchs. The removal of classic zombies was a huge mistake. I paid for Call of duty black ops zombies when it came out and you can't even play that anymore. Either release classic zombies for good or put it in its own game. People would be more than happy to pay to have all the classic zombie maps at their finger tips.,2
"6/3/2022 update. Glad to see the overhaul on fixing alot of bugs, even more happy there is PS4 controller support again. I can plug my phone into the TV more like a console now. Only issue... You cannot navigate menus with the controller, it is ""in battle"" use only, so after each match I still have to use the phone physically. If the touchpad on the PS4 controller was supported by the game it would be awesome. Keep up the good work!",4
"I've had my ups and downs about the game and game play. Over all I do enjoy it a lot still with over the countless of times of redownloading it trying it out. For the past 2 seasons I've played. I really have been enjoying it. Zombies was the game mode that made it fun again. Wish they would bring it back. I love the game still,",5
"I love the game, it's just not realistic with some of the weapons or features that players have. For instance being able to be in visible with the poltergeist feature or the trickster or flying around. Also some of the weapons are no where close to being realistic like real world weapons. Also I think there's some cheating going on, you shoot an enemy with several rounds and then they turn around and kill you with one shot, not very realistic.",3
"Amazing game, great controls, excellent graphics for a mobile game. My main gripe, and the reason I give 4 stars instead of 5, is that on a weekly basis they do a ""24/7"" version of some stage where you only play that stage if you choose that option. That's fine, except while trying to play MP outside of that mode you still get repeatedly pulled into whatever stage it is so they can fill their playlists quicker. I don't want 4 out of 5 matches in Shipment when I'm not in Shipment 24/7.",4
"Aside from the UN-lucky draws, where I end up spending more money on things I don't want, in hopes of actually being lucky. And the occasional glitch here and there, this is probably one of the most complete fps mobile games I've played. Albeit, this recent update has me logging in, then the game begins to load, and it just freezes, this is a problem I've never had with recent updates. Overall I'd suggest keeping zombie mode, and just charging a flat rate for skins, gun's, new character's.",3
"I haven't played video games in about 10 years, but this brings back those old days on PS2 playing Call of Duty. I didn't know a phone could handle this type of game and have fallen back into playing at least daily. Controls are a little funny but once you get used to them it is easy. I am amazed i can still pull off a 50k/<2d session. The game mode battle Royale is sweet, I was intimidated at first, but it's become my favorite.",5
"This game is amazing . But i have recently started facing off against a serious problem where i am completely unable to enter the game . I forgot to create an account for saving up progression but this issue erased everything i had in the game . This even happens when i have a clean and good internet connection set up but the system continously alerts by saying , "" Timeout "". I just checked the reviews and it seems like many other players are in the same situation as me . Pls fix this ASAP .",3
"Game is good overall However in mp it feels like i get so much dsync to the point where it doesn't matter if i get to cover in time because i would die anyway from the enemies pov. Br is another story, the enemies half the time dont even Render in no more and playing it at low graphics doesn't help either, ""oh why dont you just change the graphics quality in the settings"", yeh if only they Let me make the changes myself and not lock me to one specific option.(atleast let me play br at 60fps)",3
"favorite game on my phone just a couple of things. The game has too many load screens and this affects the playability, when you just want to get to the next game and you have to skip 5 screens to get to the match results it's kind of frustrating and the lag sometimes makes it impossible to play. I'm just trying to find something to complain about just to be able justify the 4 star. I fell like there is something small this game is missing or lacking, but over all it's a fun exiting experience.",4
Awesome and fun the only bad thing is that it's a very large file to have on a phone or whatever and takes up alot of space. Its very worth it though and I've really enjoyed it. If you haven't downloaded this your missing out. There is a few times where the shots are not 100% correct. A example is say you shoot above a person there is times where it says you did a head shot. It's not all the time and my only other complaint is buying items. It's way more expensive alot of items cost to much!!!,5
"Overall is excellent, just as good as playing on a console! Probably the best FPS app you can have on your phone. Only a few gripes. Needs more maps, especially some of the classic popular ones such as Sideshow and Ruins. Give us a campaign mode! Also takes up too much storage space. Still crashes too often. And we should have the option to later get any skins we want, and exchange skins we don't want with new ones.",5
"It's fun. Graphics and overall performance is smooth. Controls are easy once you get the hang of it (you can fully customize it to suit your playing style). Voice chat can be frustrating, I have to keep it disabled for almost all games because sound gets duplicated or someone has some annoying music playing in the background.",5
"Over all great! I love it. Only problem I have is glitching. Rarely happens but when it does it makes it hard to play. And I just got penalized for leaving a game I never left (it was glitching) and was deducted points. I tried going to the help but there is no way to speak with them. So I'm bringing it here. Hope they and a true support line and fix the glitching (that happens rarely but when it does and causes you to get penalized, it's frustrating). Otherwise, I would have given 5⭐.",5
"This game is amazing. Earlier issue was resolved immediately due to self-stupidity. The customization of guns is so fun, and I love the rotating meta weapons each season. I just wish there were less loadouts, like 5-8. I will make one, but then never use it, and it just takes up space. It would be a minor change, but it would help me and others out a bit",5
"Great game overall. I would like a couple of improvements. I would love Zombies to return and with maps such as Kino and Five. I would also love Headquarters, which is like Hardpoint but once a team gains control, when they get killed they must wait until the other team regains control of the area. This adds an extra layer of excitement, especially when one player is tasked to defend as much as possible against a team of 5. Please consider these!!",5
"Awesome game. Gameplay and mechanics are excellent. There are only two problems I have with this game. One of them being that the game is not properly optimized for 2gb ram phones especially with battle royale. The second problem started recently where I would timeout whenever I log in to my account and whenever I touch anything in main menu it would say waiting. Other than that, the game is really enjoyable to play",4
"Freaking phenomenal mate.graphics are on point button layout easy, I think overall this is an excellent mobile game. The only thing that I would ask for you to fix would definitely be the laging in the very beginning of the match I don't know if its just me that it's happening to but every time in the count down at 0 i lag for a good 2 seconds which allows the enemy to get a head start to get in a good position. But yeah keep up the good work great game love it.💯",5
This game has a lot of storage and it's not bad and most people play this game cause there is so much storage. Thank you for Making call of duty game. I love it so much but can you please make it more realistic cause if I shoot. It doesn't bleed when I shoot. And If I have a RPG. I shoot someone and it doesn't lose the players hands legs and face. Can you please make it more realistic if the next season comes.,5
"I love the game, had been playing since its launch. The operator skills are added spices which make the gameplay very challenging 'coz you never know what your enemy skills are, for your surprise. But since the last season, I had this issue of lags and glitches, the game looses connection with the server at critical time- during a fierce team fight or the last zone or hear a nearby footsteps though not shown on the map. And when I get back, it's too late. Please, look into this. Thanks ! Cheers!",4
"The game is good, the graphics and gameplay is super-awesome, there is a variety of multiplayer modes, but I think there should be a kind-of STORY MODE, which is multiplayer in the form of a story which has different missions and there are rewards for each of the levels. And you guys should also make a sort-of creative mode, where we need to make our base and fight zombies. So that it can match games such as Fortnite, PUBG, Free Fire and others. But a good game overall, would love to play it!",5
"I really like this game. You have many options for how to play, you have many maps, and overall is really fun to play. I personally would like more classic weapons, like the marksman rifles. Edit: we have gotten these, and I love them. The satisfaction of a single shot headshot or cracking ope. Of a barrel makes this game twice as good when I'm on a bad day. I would strongly recommend this, even for people not as into tactical shooters, as you can still horse around and have fun.",5
"Exciting game, excellent player base. Even through some people need some deodorant, they still make for a new, fun, challenging experience. On the terms of that, free items are worth the effort, alongside payed purchases. Regardless of what season it's on the game comes to terms with it's mobile competition. I may sound overzealous but trust me, I've been here since Call of Duty: World at War as a kid. I cannot stress how awesome this game is.",5
"I love the game but when you spend money, the odds of getting the good weapon are very slim. They'll make you purchase everything else first. When you purchase the battle pass, you get good things in the beginning and even in the middle. But near the end, you don't get anything. They want you to purchase an additional pass. That's not fair... As the other review stated, matchmaking isn't exactly fair. It should really include skill level as well. Aside from that, it's fun and addicting!",4
"This game, in terms of high octane action, is awesome. Lots of wild firefights and close escapes by helicopter. However, it is riddled with bugs, especially BR, that make it very frustrating. A fun game overall if you're not super competitive. There's still so many one-off bugs that make it frustrating and difficult to play. And I don't really know how damage calculating works, but sometimes it doesnt... there seems to be an increase in real players lately in matches, though, which is nice.",3
"So I am editing my review. As of the season 10 update I give this one star. Hopefully I can change it back. However I play with a controller. And with this update they did for season 10 made the controller unusable. I can get them to connect, the issue is with the mapping. The buttons are where they should be. But the button pressed don't corelate to what they should. And of course you can't use a third party software to correct it, even temporarily. So until it's fixed, if they even care.",4
"Excellent game with good graphics. I have 3 dislikes and likes. Dislikes: Time delay from drawing your weapon to firing. Occasional game crashing once a week or every couple weeks. The cost of upgrades, seasonal players, etc. Likes: Great graphics and interesting unique maps. Solid gun varieties and accessories. Sound effects and Goliath theme song🤘",4
"The bots.. They are annoying af and ruin the experience in my opinion. They should get rid of them after a certain level in MP level. They are completely unless to have on the team serving no purpose other than running in circles not aiming properly, or not shooting at all. Furthermore, I'm not sure if I'm the only one that experiences this, but; when shooting or right after eliminating someone, the on screen toggles randomly stop working? So you're frozen not able to move or shoot.",3
"Rank matches are bad, unfair, and random because when people lose and they're an mvp or top 3 its still +1 -49-60. Even if some players left, have the most kills, or it was an 4-5 they'll still give you the same deduction. Earning is really randomized from 20-60 but mostly +20 - +39 making it really frustrating. Getting a same skills match is rare and there can be a team full of skill or full of newbies which is also unfair. Remove the bots. Add back the old zombies and new zombies.",3
"The game is great and amazing I like battle royal so much and Im a huge fan of zombie but there is some issues like low end devices can not play a really fun game with low graphics,I was one of them. The new zombie mode is not so good as classic one Championships are now trash , when the game make only 64 teams can win the championship and cod points no one played it , some people played it but not for fun The themes are not good too , the old season's themes was wonderful I hope you read this",4
I have not words other than LOVE for COD mobile. This is the best game and my favorite from all of the games in play store.❤❤❤ It would add more joy if new update comes with few additional changes like it is difficult to figure out the direction from where the enemy is hitting you... if the direction and position are bit more visible may be in the mini map it would be more fun.... But also I'm not talking about making it easy😁😉 It would be no fun without some difficulty.,5
"i'm giving it 2 stars because there's a bug with the ""karambit-shipwreck""where you can't use the skin and animation it's just completely bugged, i tried everything to fix it and it doesn't work, also i've been having a loading screen bug i've already got past it by spamming the back navigation button and pressing cancel on the 'exit game' popup. please fix the karambit bug it's really pissing me off though, (me being a free to play player).",2
"Love it best game app ever, it seems others are having slight problems, my phone runs this game perfectly, Sony Xperia. As for paying to be better, I disagree, I have only ever purchased one battle pass, if you play enough that pays for itself over and over. If you want the special weapons, then you have the option to buy them, but that's a want, not a need. I have only used the weapons that have been awarded, I'm not great at playing but have managed to score 140 kills in a few games. Great.",5
"Great game but the last update has some serious glitches in BR Mode. Game either crashes, freezes or gets in loop that can't correct itself. Also it's way to expensive to try and get good weapons. Update items that can be purchased in store more often also. Same old tired items. Overall fun gameplay.",4
"Never usually get FPS mobile games due to them being very one dimensional, however COD mobile is probably the best one I've played so far as it has various modes to play with. On top of that it runs very smoothly and the graphics are good depending on what settings you play at. However, overall gameplay depend on the WiFi you have as it can effect the gameplay. UPDATE !!! 01/06/2022 Gameplay still good but constant downloading/updating for just new designs is not necessary.",4
"I really like it. The graphicsand audio are good. However, if you want to look good and you want legendary and mythical skins then you need to pay money. After a while though, honestly it gets too easy...😎 Ok after a few months after this review it is getting really boring 😴. But now its getting better. Honestly there's like a flow. Over some periods of time , everyone's using smg then it changes and everyone's using ar's. This means you gotta adapt to the changes that happen. Overall good :)",5
"I have been playing since the release and I love it. Graphics are amazing even for phones that aren't as upgraded for gaming. Controls are extensive and easily understood, as well as setting. There's been bugs and cheaters of course, as with most good multiplayer games worth anything, it's a given. The options to win skins, guns, and etc are easily attainable if you put in the time. I wish they'd bring back the zombies that are more like console versions are, but they'll do. Recommended.",5
"Best fps experience you can get on mobile. The controls are simple, and don't cover the entire display. You can customise them as well. Graphics are great. Would be nice if we could get an update to run 90Hz with higher graphics settings since currently it caps it in medium. Would like it if Ranked playlist was more friendly to solo players. Bringing back 'solo player protection' would be good. Been playing this game for about 3 years now. I am glad to see it hasn't stopped getting better.",5
"My game crashes. Every second game. All the time. I have a pretty decent phone so it should handle the game just fine. I have tried clearing the cache. Emptying the storage. Changing the graphics to the lowest settings. My game just crashes. I uninstalled and intsalled 3GB of this game all over again, hoping it would help but whaddya know. It keeps crashes. Just shuts down. At the worst possible times. Rating 1 star till I get some sort of fix.",4
"A game worth playing, even in 2022 For a.mobile game that's been around for a couple years now, it's still got tons of players, great graphics, new updates, patches and seasons full of crazy cool stuff to unlock, even if you're the type of person who doesn't want to spend any money here. Customization and unlockables are through the roof. Freedom and room for experimentation is expansive. And gamemodes that are fun and interesting. All around, a great game!",5
"Up untill the recent updates, gaming experience was fun and balanced and was the best fps ever , but after the new release the opposing teams are flying all over the place at a speed which was not there at all and difficult to aim, i have a great phone and high speed fiber net, still not able to shoot at this supersonic opponents, Something is not correct. And to get in to the game , you need to go through a minimum of 4 screens, how frustrating it can be.",3
"Great game, honestly . Been playing for almost a year now. Just received a problem where I can't log in or load into my account. On the load screen before starting up the game it keeps saying 'timeout' before finishing the load, and also says 'update error'. So I can't start the game. My wifi is connected, nothing wrong with the network speed. Is there any way I could have assistance with this please?",5
Amazing game! I think the game storage optimization could be better. It takes up lots of storage! I also think it should have pve co-op and single player modes to switch things up a bit! I also think thr game menus could be cleaned up and visually improved. The menus look very clutterred with so many small buttons and it does not look very clean. I also think ground war should be permanent Other than that amazing game! Edit: I also think there should be a custom profile picture option,5
"It's cool game I ve been playing for almost 2 year. One of the most annoying things I found in this game are the ""bots"" especially at the very end of BR.... they're totally unnecessary...they can blow your cover and sometimes interfere during a fight between 2 teams which can creat a distraction and ruin the fun for everyone... I thing they need to be taken off at certain time of the round maybe somewhere during the mid or near the end",4
"Great game, i love it. I only have two issues with it 1) It keeps throwing me into matches that are already half way over so i don't have time to get MVP or a lot of kills which makes my ""history"" look bad 2) I can't select the map I want to go to. It's stuck on ""random"" and I still end up playing at ""crash"" 14 times in a row which is annoying",4
It's the best game ever according to me. You will not get this kind of graphics in any other mobile game and it has more than 30 to 40 modes in mp and br. You can also play it with friends ( including private matches) in which ever mode you want. It requires a little bit more space and wifi than other games.,5
The game was really good at one time until this last update after purchasing a premium pass it seems like after about 2 or 3 minutes the game keeps shutting down then you go back in and get penalized. Now after Re-downloading the game I can't even get past the credits I've been waiting for about 2 weeks for them to fix this I hope they do something about it I would like to start playing the game again before my pass runs out!!!!!,4
"This is an amazing game! It's kinda addicting, but, alright! I've gotten many likes and a few dislikes. Let's start on with the dislikes. Dislikes: In a match of gunfight, when we start the 1st round, the guns won't load. The screen lags bad at a new map. Likes: It's variety of guns. The realisticness. It trains you with eye contacts with enemy, for shooting with great aims. If you're bad at the game, you can just go for the practice sessions. The headshots, bloodthirsty & other comments",5
"With the last update the game is complete garbage, it's either I have supremacy over all the other opponents and they can't get a shot to hit me or I show up on the opponents screen like a retarded person shooting the other way or not seeing them comming, there's no use of sending feedback, reporting bugs or suggesting solutions. I had a very good time playing ground war though, but I'm not gonna thank you for that, you took it a way, I didn't pay a penny for this so I had fun on your pockets.",1
"Nearly perfect, the graphics are great, controls are great, the game is awesome! I absolutely love it. The only problem is the zombies. Please, just bring back the classic zombies and leave it there. That zombies is perfect and we just want that. It'd also be cool to have some of the classic zombies maps. The battle royale mode is great and the multiplayer mode is awesome, I'd also like if there were some BO3 Multiplayer maps like redwood and black ops 3 nuketown. Thanks for this great CoD game!",5
"Adjusting to one star because the new updates suck. It's never had much of a good ""skill based matchmaking"" but now? It's either complete apk lobbies or 15 games straight getting demolished as soon as you touch ground. Or constantly being placed solo in quads is really annoying. Being fully plated and using a gun completely maxed, there's no way I should die 3 shots in, right after I dump 30 in the enemy just because he paid for a skin. This game may be free, but it's definitely pay to win.",1
"The game is amazing, a very immersive competition mode allows for any mobile rank player to enjoy the time. One issue though is the amount of people who leave the game or disconnect in the later or higher ranks. It tends to get agitating and leads to a disadvantage. You still tend to lose points even if you did well. Other than that the game is very well developed. Meta takes over the game in serious manner though :/",5
"I liked this game very much it is a brilliant game. But, when I started this game, I did not have storage so I did not downloaded the HD resource pack but later on when I downloaded it, it said restart or enter a match to see improved graphics I tried them both but the graphics were same. Please fix the issue because graphics in a good game matter a lot. And it uses a lot of Internet so I had to delete it.",4
"All i have to say is please bring back the old graphics settings. Since the update my gaming experience is ruined because of the new graphics preference. I downloaded all the resources for nothing because it didnt change anything. This update has been full of bugs and glitches the audio in br is messed up. I cant hear vehicles going nearby. Most of the enemies are invisible or appear after a while. If you dont fix this issue soon, people will stop playing this game. Its getting annoying",3
"This is an amazing game. Good graphics, easy controls, multitudes of weapons and tech for those weapons and amazing maps including Nuketown. there are campers but that's a given in any FPS game. If you get the right weapon and are skilled enough you'll be able to dominate the battlefield. The only problem is the option to connect a controller because it makes it a little unfair as a controller gives more control over shooting/ moving.",5
"This game is wonderfully made and beautifully designed. The thought that went into the map layouts is nothing short of genius. It really gives one the freedom to get creative during evasive and assault movements, and it has that cod gameplay that others come close to replicating but fall short. As for crashing lagging and all that, i have no problems whatsoever. Then again i have a decent phone with stable internet. Wanted it for years thank you for it lots!",5
"The new season 5(2022) really made me disappointed. The amount of bugs is absurd. The main problem for me is that when I open the game, after the login screen it's stuck on the loading screen for 30 seconds - 1 minute and then it says loading timeout. I can't login into my account and i can't play the damn game. If this problem were to be fixed I would probably give a 3-4 star review",1
The game's awesome and I'm definitely a call of duty fan. This is the best game ever would highly recommend it. You even get free stuff very often through events. Also could you please fix the constant lags that are occurring during the recent seasons. Also please optimize the battle royale as it is very choppy and during matches there are random ping spikes so please fix all of the above issues.,5
"Great killer game with top of the line graphics & different options & game modes. Not too realistic of images, but neither too poor of an image that makes it look cheap like all these other shooting games tend to do. Some of them have no business & makes me wonder how the hell did they manage to put this garbage out on the market. Waste of time & space messing with these other games. So stop wasting your time & get on it & download it today, I promise you'll love Call of Duty. I guarantee it! Jr",5
"The best shooter game available on mobile no lag, bugs or glicthes at all. Absolutely astonishing graphics. There is no advantage for players with controllers, players on mobile can just use 4 finger claw layout and players on tablets can even use 6 finger layout. It has simple controls which contribute to some of the most complex techniques. Simply the best fps in the market and my favourite mobile game.",5
"Okay so the game is awesome. The graphics are awesome, even for some of the low end devices. The fps work well. The weapons are constantly being balanced (every season there are some balance changes) so no weapon can be too powerful for long. While the huge updates every month could be a hassle, there is always new content and a weapon added each season so the game never feels outdated. Simply one of the best games out there.",5
"the game's quite nice, offering different game modes including battle royale, so you don't have to download something separately and stuff... however, can we have it more serious with less weapon and backpack camos? i mean, it's all right to have a blood-stained melee or a gun with a kinda nose-art, but those awfully designed camos are actually awful, since they exist and take noticeable part of memory altogether, which is rather an evil addition to unskippable loading screens at every start.",3
Love this game been playing this all my life but when your playing ranked and the hole server freezes and you have to leave cause when they un freeze your stuck spectating the person who killed you to top that off you get points taken away and a five minute band on ranked matches. its not too bad but rather annoying. still its top quality and provides a stellar amount of entertainment 5 stars.,5
"I love this game. Have been playing it for over two years now and will keep continuing to play because I am crazy loyal to this brand. However, the last two updates have made the game really slow. Even right now I've been trying to play for the last couple of days and it's giving me one error or another. Currently, the game isn't even opening for all sorts of reasons. If these small issues are fixed, then this is a perfect game",4
I have been playing this game from a long time. The controls and graphics are too good. But the main issue here is the storage of the game. When we download from the play store the game is around 2GB but as we start there are multiple downloads and the size of the game just goes from 2gb to 15gb. Pls try to compress the game little so that the people could play the game lag free. And there is another issue as the game crashes sometimes and it's frustrating.,5
"Great game, but the random draws for items being progresively more expensive on each draw is absurd. The draws get so expensive i could buy a full price console game by the time i get the skin or weapon want. Id rather just buy the item separately or have the random draws at a consistent price. Love everything about the game except the gamble mechanic.",5
I find this game fun to play with friends. When. They added the gunsmith that game became more competitive except for a few guns such as the kar98 and the dhr being really good. The maps load good and ranked is a lot of fun when playing with friends. However the game take up and insane amount of space and finding a lobby can take a bit or just not work at time. Also there is constant redownloading resources data before you can play and that can take up to 45 min. On good internet.,4
Overall a very great game. I've been playing since it came out and I absolutely love it. I would 100% recommend this game to people and I have to my friends and they all got addicted as well. Only two negatives: Some advice to the creators - the old zombies need to come back because the new isn't great. BR was better with adrenalines not super armour.,5
This game is solid it has a ton of weapons that keep growing and tons of people. It has clean controls and they're customizable. Graphics and maps are great so is realistic scopes. You don't have to buy anything to be good at the game it's a skill base and not a pay-to-win game.,4
"From a 4.5 to a 1 back to 3. I have a love hate relationship with this game. It's a fun... ""CASUAL"" game per say, however the decisions behind how public and ranked matches are matchmade with human and bots confuses me. The game seems optimized only for high to low end phones released during the time the game was released, as older and newer phones seem to have optimization issues. My A20 barely runs the game, but as someone who's played since release, I will continue to play until I cannot.",3
"Fun Real experience,, Awesome audios Cool guns and skins. Though some things need to be improved like - Heavy Network and storage needed. Also the best thing is that it has more than 20 modes in MP for eg. Hardpoint ,, S&D ,, 1V1 DUEL ,, SNIPERS ONLY ,, DROP Zone etc. and over 10 modes in BR also 25-30 innovative maps in MP and 2 Innovative maps in BR which makes it pretty creative. Overall I give it a 5 🌟...... Thank you!!!",5
"Fun game, fair matchmaking, not pay to win! Graphics and gameplay are awesome. Lots of action! The balance between guns is good and its fun to see that not all people like the same weapon. Only negative point: This game is huge! Takes a lot of space on device. I always have some space issues at every update. The game starts to be clogged with too much stuff (too many characters, weapons, classes, operator skills) which makes downloading long and problematic when they update.",4
"Simply great cod experience on the go, and the way there's so much CoD Gold (maps, weapons) makes it even better for the fans. EDIT: I have a huge issue with hackers once you get to pro ranked though, some are just sweats but others are obviously hacking and there seems to be some pay to win involving guns, also servers cause you do die one shot, yet in reality on killcam they were shooting at you a good bit, that's pretty much unplayable for ranked matches",3
"Full of bugs, poor optimization, random freezes, fps drops, sounds glitching off all the time, constant messing around with sensitivities and hip firing settings every other patch, movement has been made so stiff (battle royale). I feel I may delete the game at any momment as they only seem to care about pushing new skins and cosmetics but not fixing those bugs that cause a poor gaming experience. Edit: A lot of the previous issues have been fixed but it still needs a lot of optimization (BR)",3
"Absolutely love the game, I've been playing for maybe over two years,I don't buy anything so has taken a while to build up my skills, I know I can never be as good as the top players but I think I am concidering I don't spend money, one thing though I've got two players one through FB and one as a guest but you can't pick which one you want to play it always starts from the last one unless you're game crashes then you can choose, would like to choose when the game starts",4
"It's a pretty fun game. I was top 3 in the country for almost a week. Customizable control layouts, weapons, ect. But the updates are always so big and often. They need to space the updates to where you don't have to burn up your data each time you open the game.",3
"The game is amazing, the only issue is the draws and crates. It ends up being so expensive just to get an item you want. Maybe make it cheaper? Or maybe lower the price per draw? Because its insane to have to spent 4,700 for the last draw. Same goes for crates since its based on luck. Thats insane. The cp prices are fine but the draws and crates need to be fixed. The coupons are really nice for f2p. Overall, the game is great and i have been enjoying it. Keep up the good work devs",5
"Mechanics are great. Feels like a true COD. I've been playing for months, but I've noticed some updates breaking a gigabyte, on top of the initial 10gb download (approximately). Just curious if these updates merge with the game or if my Call of Duty app will soon be 25gb. Either way, the constant addition of content is awesome.",4
"Adding to the below; Everything costs to gain, the game has become so expensive and lacks in new fields of play and more true game play. The fact a person can kill an opponent with one shot from a knife or boxing gloves but takes several shots with guns is absurd! Separate these or make it more realistic! Why are the Mythic guns so far and few. Outfits , helmets and gear are virtually unavailable, offers to purchase gear to create your own look should be offered!",4
It's the best game ever according to me. You will not get this kind of graphics in any other mobile game and it has more than 30 to 40 modes in mp and br. You can also play it with friends (including private matches) in which ever mode you want. It requires a little bit more space and wifi than other games.,5
This game was great in the early stages and now it seems it's all about the next content. I've spent more time recently just collecting the new skins and less time actually playing simply because of the enormous amount of additional armory ads that try to make you purchase cod coins the actual game playability has dropped right off and matches seem to be very glitchy the only thing that works well is the payment system that always let's you purchase.,3
"Best fps experience you can get on mobile. The controls are simple, and don't cover the entire display. You can customise them as well. Graphics are great. Would be nice if we could get an update to run 90Hz with higher graphics settings since currently it caps it in medium. Would like it if Ranked playlist was more friendly to solo players. Bringing back 'solo player protection' would be good. Been playing this game for about 3 years now. I am glad to see it hasn't stopped getting better.",5
"A brilliant game with all the excitement as on XBox, I love it. No Ads, easy log in & start a match with no problems. New Season every month with an amazing music score which I always love. Whoever makes that music, totally original score btw, is amazing. Please keep posting the music Behind the Scenes on YT:) The game works perfect, with only some lag after playing for ages, overall smooth gameplay. A great community to be apart of. Every player I've met is friendly too, amazing in this day&age",5
"Literally best game ever. Great graphics, gameplay is on point, so much to choose from. Keeps you on your toes with different missions and targets to look forward to, while being rewarded for good play. I play nothing else now. The only thing I dislike is the campers who ruin the game 😂",5
